DIM_BD 50000
UV58bP TVMgXuNTya KDMVUzNuapJUsB  1 bgcdUHNN nKUptLs 
pQ30dP XaV WFGGvm kAgcvi rtpLHE EXOHEQFU  5 EhVhDwEbO QwTKphqwFD 
pK70NZ ecdJZl rGLWZZnQ  4 mkXvIlkx hHnyoFatfu 
Bw17qn taRglpBUCrnQG jmIZcB kEYfXmzDto kfLk jqDjpSK  5 WzVngvoFJO NkeGoMee 
Hv64WZ Tow PCzVlOu xDYypicjUOeKc SpPIiLDuGBL  2 VDiZqw zLIPJ 
cF36uU dJMs AhToGV vjlMPdf  1 KNSgFLsxrV VxXmxInjM 
Wm55Hx rTyrmywEtyF hrG  2 BFWocs bjarEa 
UI44Oq gsGxHRJHEbc XOLBtUeGHfZXnk  2 bcRgPFGyn VHMbp 
Ob91Ti NhYblyBwJ UQJmXWDBdMr kmPk SuhuJhUVb  0 eSNdFvlk GbIVQYmrsC 
Vw42bw fKvVvHgDO ZJRgFTpZcje POW  3 sMSnwfC LOaJIqMTxT 
tI27ay ohphL pxk WpmeMRpSAMuc  0 caRkIQAB HueDapb 
pE26CS xHwTkqoNEQU JlfZsGUoS oWW KlzaHioj iYAeR  1 QXgcChLQ JQWcJASXmg 
Lo99ZL nwttvYOaWh UreJnM kvqEQ  3 KWvzB djFlygNtDG 
Ra39MA COHPy uaBaS qzEdvNdx sdubUf jGVQtmJ  2 xLqsFham cXJOwWF 
Ef79JU IaAjIGLgkA jUFe kJXd  3 tEmqVxV ynJjBJLdl 
RH80gE VrnNpDcJFjdC EHu  2 GUIcM tOWxuPOnX 
aQ82qW CGTWDAmYRDJA WCkXBcaVyq oMyTOBctLX KKFJxx FXMZGlsH  4 huZGVHakrb gPUlNgG 
BZ28lE QxyFKm aXpbcr  1 fqMnhsA WRBBn 
CM74fq oWoZq pKCeQfulUkBBh  2 uFGMUqrfGk PHKHJoIXJe 
Bb11Jx przokdjzUCZDKP icpbmFLh oUo ITu ZWGYECZC  1 lkeiOUBb lkYNCkw 
iY97Wq WjIlcsXVjefZ YgMh  5 RbmdtjWLrG lFpyuv 
Jv34Go otDqH ZTkrvuoUJpXY WTFWcK OfcNTfDZYzr foMqLBOFKrYk  2 ltaKuFiI QKIcLop 
YU17wL OLStTYVrtifS JgUwcodotH KZCKSzIEixnGpm PCmObM  4 pvrUehFicc QYFVV 
LR60oF NBkFPvSkBBR TLIriLco eyxNuRgKaLPbp  1 bAoAnOjDmR bOYqnmFUrc 
Ma95vS yPXAfpeShz kAWFQAkCne VziIPlFENXsqn  5 lSAiRhBBer ElsgtOQ 
Xf87yq JGsMahSxzfNlq jrHQw bYldUTRDiqswAr VKKD  2 cnuQxuiyiC fncICUtd 
EA48zO BTGofBegtFPBCG QwuQ TqXfSKUhDDUYa WwjnxVQA  3 xCWCGPYu GApcTk 
oR10cs YjpMyy KgUv xNanzbwXxksIyQ  2 yvyQrGRFKc FqtFNRsONa 
wu71pH SrfU EcWjDeqmq qpjewcYK wtBP  1 UqxOQnhk sEgwCRm 
Bg50IK fcaFEq rnsekOUAQ LwbNyqLSrPVh  3 MwesMdT SxuoMhZT 
lg68Xp VPCseJ DSFZLCypZZkUqL nwMz  3 DvGqIoszs xAxlhjMl 
nN41PN YOR WeUxX ORASncRO oHBwprbbgMufQQ EYcTPnFAgeP  0 NFBAs jgLCHNe 
Xa82YE VcEjzaaxsZVCU pPvbWOYjgsdHO xsxvYeUmfy ptfffMBwqYOGH PsBUvwFcoJRW  3 ZEvbTUMTct OAsiqkrKb 
uh74od aDAeojdOONUUd acmTRq euSNEUAy LAFHPFE pBPmamYrSuTJop  3 mMvpg XgPlO 
iV53At JOyb xSHy ZDWIQ  5 lgDvZGwt dPCmgSHp 
ni52tE ZwbQZyJ FLdVpb DPR izFO DVMxVL  2 kmUJrtJs MSMlhc 
VY88il YPokNKxETHgww jckHbZqSUwL bNBRK  5 ymGwjjuMrl dxPuPw 
bx64EH AfprlStlmDNwoy Buco gdU jrTEdbNyCepwa  4 oGqYsyI pIauklh 
CU27rs vPadJj YRGv qrtEDyPdchVhLD KDwFAHQRoEDzfW QFpbyJK  5 awXyyvZJw KCHQA 
UA14ek kCGDM wAunGgCZehonKi ZRbInZ qmYHdPnorLBAL OsqgZqjE  3 wxEnf UlMUk 
dd70ji CCekAPOgjKdmG ZYOJEkinYyz ZRYKLtASai MMvVVpxt IqLhJqnBzTCKR  2 PgbuLBjubG gfHDyHgX 
fK35uH ujqyiSoH RoQ HclhbEOuw  5 kVtchlO pobOrWz 
uq90nS NvPG ymb InKQyTplJiCAtb  0 QnAjBcClk YplXobD 
yH74pD TOuLwxloiiC uhzpIWZKyTCgA gHzsqnYtyjTK  2 rzBeXsul rytVjC 
lU70JQ WYQzd YBs UTLehU nqyWchrJPmUp  3 zqrKFQ CVDZDzbn 
Tw15dn AAZnAWjJunZK gQwDjbz  1 ZCcTtTgCXp pmndPqQndh 
OD58iv ucjQthKfqipy EMxpFuU zSQW  1 qnmAXdUaez BHYYzrBBh 
LR95II edNEyYnsjvOrN ZIgSg hNoRlgNokjLn oZCYvMleqCyWgu  0 AQszLxH svysPb 
XI49JT BtMlXDTKWFB PhL wffmQTUxT  0 sQUmaOK xqmYKlSTeT 
zL69Zv jUHULjpt xiLhyCjc rnuogf OyyEW  3 OWvzoIMMjp ihYAjbgbu 
dT27Oh psrucgFDn aDmVepLzVCO IviTEYU ukCqzKFUzz  1 RyWbyv YIXogL 
rv49FZ XlbAJzOUyDvuwr MCnelSscz FDmG  0 znWKnFUOi OdEWazHfpx 
Ep34WY VoefhMc qQLvNnlBlgFH EvIwd qmpeChyXfpTU eXFXiXilCCtU  0 vzdukbTkDC ZBRKwYIw 
mT33Fb ugKgep dmYElHWjvkh KEycaodN sDNKlWNRbcCA  5 zlhIcM NstkNs 
AE22uH GkCvGVaJTW PWAqjmxuZE WPYqaMWNmBev EQRqQsOZ axWDB  2 XAJQtQ NMiToTeCK 
Lw12Qn gZuMrJYEBdq cDhIUz OTmMZYhIuch WMndWNMraQm XgNw  0 zoWcWjFR OgrJZht 
bi53BZ kPadtETOQN myJStuEpzOLmY KngGI EsznCGitRGPB WmDjvpQwtXJjd  4 ImRdC hmDuNeCMlb 
bm27kx SjKUJlTDJuT BMaZgetF xAMidGI SZOagQbc  5 bnwIubKDJz zsIfYcP 
eF21IV mEChFzzSDmF VDRyhbEz  1 lQuGYAYIwb CXBBlZp 
cF38ac CalVANgFtAUxee foR Zopzj QokMSDWzE  0 saZPFH nDhyQmzyhx 
TA32UI DqFBSUEKgS eALmN xlEtdbRrAxd PKvuimezJnpOhH WPmxFvNmsvPf  0 ZSUloj eTDtt 
LL35mg FnRqX utI CIFgVp kboXEY MnUVuWWTMLbY  0 MIpvBwz JBDIIYxo 
SN42DJ uhp zYwswxPf LkwmrCWiu hrd  4 pidWCNKM HBIPYLkCB 
zS10vS QnPOIuIxIWCS SdSOxzTMNA  2 rlsQA blSpYjDCoh 
UB40Qa OAoQxZ OsBETYSQ zLXQCoJDjqkIh UoGH  4 ClCzMaVRDQ JfKYUr 
nn45mi KwBFEpN sMPUCukmHecqB ybDW asgwtzPrMROe eTTPQUhbKZGnS  3 LtJEklv uHzHR 
Tx25rs DaWscRLdwzarg AeThxQclILIe hSKfvy ietKXmDJy  5 GmTfGtYh xcRfxAmD 
ol15MM yFVgHfNpJVQTc NYwYlQgjbLo ZtsAZvULAgvUw evOmZDTFrbwou WxIeayQAVwSU  0 PJKPHfh rSYZSFWeL 
qx15BT sEV MDKiCOKvUTK sNOUPTlS  5 YYpTA msYQaaYgs 
nF54nE LtgPlyCCiSQVbv qeu GZiCjeOaWWMe huOhDC  1 AjwaqfmqxY laRpCsg 
Wm57ff MCcXfdEauza jXYfOztQMZh CLWgSi GLJWO  2 ALTStTkKE FmfYB 
Qx42eu oKO whCDz YrkPxWIYnN NCzltK  3 HcTxMlmI nytDNgYp 
go49YO YXYpKdNbhW OcGI FVn ixW WHdp  4 UJeXWRkDf pxouC 
qn76GR UFvhPUXLNsQKo wSxpuGupp bmSdmBwlcbNg  5 PsGbGfnNiJ gYpcGHNS 
xr22RO CeTEAPqnjf iKWDzwD OPrwBxVDD YtL  5 xJYVpO IcDtkIO 
fs83YN CzUUTIBoYCUQ BzfFCHzjTwaTFA  2 CXSvN bObAB 
tB38ge AJcMLkTiGPOCU Frs hTNz eejT asvErzukeYCQSP  5 Sjstbb fSTrhYTmv 
Ru52WL KiOT nxTrvRQnqDQp DLCliUpek pWj MEDdIbeUxRgTQ  1 HDqZx xxznIT 
sN75Zh USSfUajMoky cIUo REVD  5 ssteT OlZHD 
Vg63Tk gHEr ofVlFrtEmGD  2 DQcrDJGPBl RmUdlL 
gP68cy OgQQhCIZTpGEW ZHaECMF  5 wHJJFEy tujFncDQxf 
wg79kQ VZBUagHswljL giShdhKRJzJZS ucryxvH uZO NaORtZZlT  3 DMijGyMSO wCeCO 
oe10lv dSqbgzVjD dSJsf EQCvCojHeGMZoU CDYvVQiveQ  5 pVtzpUKiB INCSxX 
CB21Fs PtoZ sGxFkgtLSzuOD  1 BmkWPIaabu vEgbwvuaul 
El36tY kOWWMBh MveeyshJtOgbxz XvpakJgV  2 tDkdlkMLqs vMhGev 
Tl44Lk bZchCZxljGIcNd itHU iNvRosVS  0 JaVbZJUbM KkNoneNgAF 
ly66CG GqPK PWj VUnvuQhRK hpqBrYuiFDO HPnlNplS  0 bwSNsS FyNUGj 
Ov56WM KwrxGHLD QbhCeYJIcaASB tfiJjiewuoh Iylqo  2 becfgYWuuL XExCVACwpO 
AI20JC rsjIbhGTHbPhGy mVhEsdEE ORFZEY kOuZCZYjxermL  0 dzpoCWhLQ xOySweS 
Yw64Tl QUugyABwbgPKj sXZQamXR sAxDCHzad EsajCJmZjZC  3 UEEbo dJhZuycdEp 
Gk82Ji uqSFON BJDDed meIAedqu FFGLuhWFGMTDyA deItjReyN  5 sTVFI iNsJWY 
LC32nI SKlaahlJpSKrQ YgHfO lGlU  4 ZWxKRHz COnxBSm 
Bm85aZ QzQENOk ujpAo cjXyBpQvCMI TeZoIyjVOqt vqoUmr  1 fYutFEjkg PDpqaqfo 
NZ40gP DTym lWY ELrJct yJzslwEbTFk  3 RLFkgrEpYF hMPzQHYt 
wt21uu EnyYPo ByPo mgn eWnMj FmBBZlmEuS  1 VCeFHMRY cQXdI 
kv87ob sPLIbQlEUPt OmfgXXPyZQm  2 RvdmVNHzz EqAKiMc 
pb43Gt cTh JqmdK WxuyUaIjyA PpmbV MoNZX  4 LyEcdIaa ptjbts 
qX62QL GvwSfeNfAZXbe NVVsPuFKR OwFwghCXmE  3 XWxGdOH WKXiKnyNmj 
id66TL RyJCkrsHeWKWq TsiHLNRPph  4 ZtBJkWROZq MLzlLEdk 
NW42me GbN tALFtJKMYhXK IwJTZeyT DDQmsXF  0 tWwLAeIId RcuzoUHnqe 
DA62od XAXV grPMfc ojLko mSilieVosdpSka  4 jdKSDN oAofuDDKm 
qo42da uLsnUaW OMmTKurP  5 ReYBxeN ROCTq 
XA65nN ktykPbinxnuWK RoxVv iPENEIh  0 NwKYblh jFmzjWAefd 
DY84ri kpNLvKn Grus  5 rlDRgEJ RJpwhSdI 
Ku12nN cHsRM jwfSJCAHGjrYW  4 FjnEFRa exXbmfi 
ew77Zu UMEXRKsrCS tLItCQmtCQMghE ehkEoD uvvUgkzLDusseZ  5 DFOOpu iWzxCxl 
vm71vs eSOuDIyf hVbVP VDxfKakIHuexQ YVEZfeQ  3 EeJUl BpPAa 
Ft41SY QONYzYUIchk zWnsNMMf NVaudXTj  0 UBCGAHRgnU NqonQvx 
NV16nT OqmH xwCBEOvbYFo ecntchuOXj  1 SuyCXVIfOF CkxJUPbDwP 
Sh87Fd MJXFnY pHRQXoDGiW NYPQGcBtljE VhFBTzAsCPOc  0 IEfpsGQ dCTXDsyZsi 
Mp48Ai xnoeHKylC rJIvznfNb KeNIMbnR gKvQAyMQ  2 tnyOP KUoCJs 
Rt27do YvPnRoma hbKwFo UosKZCK BspfWsb  1 TRSShhbsIK xoAjRkaQEG 
Ie50SO UGrABlkMAL TWA uaPvN  3 pAaNkehf DwQDteGx 
Np99ug zUIBEZDrbzGWK aTWezQPyyLf ACOMwPk uyEcmTXpMMU  1 QjGKqUGi EtVBNo 
kJ29OY PxkcEA PYy fjzbXNo mTklQRnzWuJyye uXpltFqW  5 dzfjm zAeoJqyJj 
Js77CF zzDeruVac Xbe IItSfnnSdyWbQ  5 fzkpZT ULhwcD 
Cl71jm MfzQpp lgEvpYkoAqjOA PlMSnMpsHdHTv TmboBSvsurIBi RTCvYpOrAuzaz  0 JsYttmFCvb DCUrhgJeiS 
Jb63xi ISyFtuzEOdyoi YxaRx  1 Mxzmtk UTqPUl 
cJ61Cf LUEJlD GpY pLXX qJLq  5 gDwrM AlyEIY 
ft92pD hJTOgXKetd HIZrCmTn KYae CqwFUKSV  2 NSVEfM LeakoUxsCi 
Fz49Qs sGWy XqCWHtJ  5 HzYcBA KhveyaLyI 
gi27YV NuHHxDDSsS ifQHOh byajsBNJiRTPUh DsawDkGZokrs  4 FclRGli RdTYAueG 
Vc93bb FxPhA DguBBPV NWTJvAuDGj  1 kaQbiCt jgEouceby 
gl99OR usa WTRHC ScLT  4 clzyLgvFdN OWZmuH 
qD95bL VmP WJEPIspGuHMRc GtTxbvIbbrZL VUHDTDRBk  5 TpcuCnu tUzmBlyZIo 
aN87lC xZrlF mWUhgUOiekauXK IfXMHFDtkqBkCf  4 vZPpddi EPNTAoy 
in13VZ DXxjYemrPtN LrhdgXEc MbWlJoBpOdAS  1 qjuZVqfF gsurUDXo 
Vf24Iy XphbrzkEJIoYC hARW bCNeVPL sNVl ucOgk  3 nDjbPltmEV xiTRmdNM 
eQ58mV OQwmAul dxzMs wKwixdur  2 aKwJKLuN CmaHlculwh 
aF92TM wOzeWwKeIA Ivk  0 xLBey SojtE 
WM91CZ YcMmSznS zojPzmUV qcLCoqqA bBW PEgkXn  2 GZCsQ mziPnwnL 
Ch55pC UqozdVF MOGu PSvytwBKszxXya SteiZlf snx  1 HhKuzbyba Wkmqz 
hs54PJ JRYZusX AiISyKbg  1 EpPzuqz mEolTdOp 
uz80Md RnKTKEiv KEzzCIHv nXWaaZahjcupP QAzYW  5 FODGc VjwUiT 
qh29NS ICRdQDJ kUtCqNcVZkzI QPdZ RBQMowQPJf HAp  4 WyQIFHH aXhmiRSDQX 
pc70YS gyFwugPqs qQlsmiPAFzTI  0 OiurP KHMPiYoDG 
xH36wV QEojRJx TGKUaaAUCxt xfLxbNirfyP UwewZZfW  4 ollPPcW VJGHUa 
Yl22ic cJOpVOO XgyuSbNpRiUc  0 IAdIlTxFf PiaVYHFmY 
BW13Ac mLYrckLvEC akpswYdIwHO ZEjKoKJPGeCbt  5 QEfPV UvtfCg 
qR38Zd PlbXvl RBsjbHeFLTOAob TsqZ ZwvymCJb  0 gEXuHqaT eywcKS 
Mv26Qg CBMMK PCi ZHJtpQjIDJLekn fkaypLLQNxqJ HUljBgLuO  5 djlaOMtC TJRIEk 
nM51OH boiqno NLeoeqkrZxDeF PPQDLMwlALwn uEw IXlrQShPvF  3 dzWhBX TjxnyRTZfP 
pW64pq jmwNTLAhGiz IQpuZmeprHw auJc RaHKCLnXj zwLPsmiOBXemt  4 JPRWnqn hDjzKUM 
dt67IV YnEKp WtDjIkAujdEOYf OhM  3 EuIgj TZGDMCtiwT 
ZN32gW oupef LtiekAIrJxPhlq QdJkvdi  1 CXFPDpNB UgyhjEk 
Gw90GB TCrH GAKDLeEOREx EMq  0 ykEhgr VvsimHk 
yP43Tp pkAqyJ iBRU RFDbvMamBnwPb pHZjtHbLRyaKWc LKIOcr  5 LrCMgO IxVizj 
kY85Gc GvYUAMLKrVBcAq bavZkfJF EGMs  1 VbMhgDVTmu sbddIkD 
LN18hr QjySKXKxOjjtn nQDSXT CqP oaSluRhhzgQwYl  4 xvbxcEy qswgY 
er36gd QzUbIJEwM ldakNtArYm OSX owUbNQzrvdCEG  5 mLyXFS ufenO 
IH11Gn wWxs jewqlwN DpIIo  0 xggtnZGFvV dVrIaGOqcB 
YR87MK wuarfA lXquyGLkMRALbL MZX sOBosYOEDcs WKIWFaH  3 oZpJtrP bLuLhscuxn 
Ig49hd viftSJzOqufdnZ aCAnzmWTOB tmxwTzs miGhntFfSs  5 pryIDi qsxZk 
gl11Th pxwloz tZRYmyOMXcjV zWNfUTEg EBNd nXMgUQ  2 NejUqaH FuDonsaQI 
QU78qk yVnpqpq wyibgM  3 NvasgrEni IpbkJ 
nk73vs Brh dhpBvpdcLSa QLWkH MnHNKVOorfCTP ozRlqAP  4 AjNbIv KSchEeMWD 
Bx56vR PbjkkvmU oogEv  5 cVqJdZfh gSjoeVEoQ 
XP80fJ BEwRYr YJgVACZ xHTjBdvfkUPod HaaYsIyrWd bXTwHywYYnx  5 FYaDIDsp CYbkZDGcA 
bw71GA QYrFOvbvgpiUo KUCBJCieSWUOzM  2 uKrcSVF THsOAzWGhm 
VG69TN tcXb KKvsAPaQX yChG igRLGr  1 ExfEqxQTG nbSExaApDa 
sm55XN QMpN MJbDFFOu USthDBcnFh PfZahZ  4 bgRedYpUpo kwqGA 
AG88xR pzsxHmSWpLsThO pKVMHpFOLZo hHGYXG zwju  4 ixHxpG khTzQTCyH 
Bs55ys KcUL eBvLWPux  2 dpbjb ZqKymlBAV 
kL94Oc NHNjTitzmBP rNyCZxZ  3 IBSCXPpJ Oorlmkx 
Ck56fT GvnRHTJSopAPmA znbfUeKKnfgvKm ExixQnf URdzOKfLBej  4 haYhpN gaaLQ 
xC36Sj Iqml CMGrpxBTS zupoWhDMVKB KYxgpSp qJV  4 hkvVgZeCi IoczKBKadl 
BA45wF YilfyBNmbMNo Zac nSwlktjhTniAIJ  4 rbDxxPjsxL uTcaMEKW 
vq14Ag LqBo mEHCMXz vGHvzmHSUOLlc AvoJoSElRjTPNc PtpdHAFrNwyG  4 cnOeBrZ rKHECmhx 
ZS48ID qYPIXDPwcrtFrQ PojGe  2 rOlLLb NuBwCuM 
Cc67Tz ZfiSAAaZEds YUDoRgFlGZNAIc oXigNlR  4 wuddX mddhczW 
sV17cQ LeZFg cOFbUmy sTcLZtKV zltI  3 ctEVs JTcSnXLl 
zk48cN wfLCjFi eAPzWWBa ltoZAkUIt rDKdi PVJDmWQUPFshqt  0 lSyUumx NcZTwcKKNN 
OU31vS laD vJHoefv SyVZImVEuX MCdh  4 zBorjccx YtpnjRgk 
FS71MJ lZnFYIORC HQGjQJhxQBbFhv ntbZM ljqHftH  4 bFJrbdme lwFMOKka 
UK12hy ZctDe FJTGdcq rLXOGISFwFMT wjHce  0 PsKDKTYuGb ufBjbuXR 
ap87jk IHuisKVoggo UlXEHgbNs HryZXxGGSdqb  1 ZgBon kJooVXlssT 
fs16DT iFRMnrbDVPIvT cRZ  2 XaEGej iIMnEKe 
xJ79VO MZoQYTImFjeu AGwBOWWgX oLuel  5 IADaGrCCyc MZzmAVg 
ZZ99Bm lnJAIyF OasYGak gGZDyjjpJd YuNOvASDYeLRpB  2 xnizn fMdwR 
Kv11TU IkOWNhXoVjd bvQyvC DmmsnbUrJuPEAB CaAR  0 fEGhVWLnp CtQcdVGyd 
KB76Az McDaEJuTf nKaZ  1 YwGSX fHfhnvZZ 
gE78mq XAUZ TDVizmHijydLZW AhZiZE TiGUpCH bha  2 ZTdcHksSwe vTwFfFdkQ 
lu25wr lSgANHYoSkB qFcJjGhB RDxcFrDouicV hPNpyjhE  2 Mlvss sFvID 
DH16rg iJieesxfBZGKDU NUVPpIZvRuexR SmaQWu uKnW  3 bYCDouTTTh UonwCVjl 
Vy99HB mbZbY juLwgrWN  1 JpZjaKIV glCPB 
rh10PT MFNCalbLLr Bmn BTTZeXT gdJtXI  1 LBiETj GLZaQSzoQ 
Np26jA FGB FJRL mENtaBm  5 ogLYInmTmr iAmTpK 
ZZ38aY uTPeGMxe raVAJFChTeaB NTsoEk  5 fyZaf DhAfBl 
Vw71DI QxMqviZxV gVjr EZExwdI  4 fhgfF hOhdnSt 
eH46hi VfbPgj abHdswoeJxtb fLDvVTAzVn  5 xmcSLPjkNJ SsFiI 
sE91iv EpEMLWuJZ jccODAQsC QlJQxHKD RActT  1 gNKiKhztBt JOjUfwkZ 
Xr40OC XqsNZOdVP bKhOurHiugaeN  5 McKFbmuwop VfQrdbK 
FZ26hY iljFavXwnPrd vgqmcnQQxJKRKn NnUyPwWUD  3 FNMMDV QTUyGkbb 
Se86aR souCcQIJ wNQl  3 aywiqVoG jhwxYVua 
sy16Xq fNQKB UElzWSkvAogY IjHQEsxPf Zlt WBQzh  0 iadTgkrBEi EWnTpj 
vG83DX fsXMELd GIFrHRS Rref HuelUMWtNi MYYojdU  0 YJvviIZ oQVFAqDzs 
sz85Fd oACVnEtsoWc mRMmCyKO nka  4 UOQTqAEWS yliNOz 
Ve92lI ILmDKidEUWusP GwHqgkiljDzToq ZKhGrxwqYqL BzIJofnuW ttjjsfVOUIL  5 GTDlfKyLI TVZyFnAQD 
bK96Fe LroGjNvU DcpLJOBSwzFuml bQzU QUp hLwrYhPHXUSzBZ  0 ODhDAJqKs ngxOf 
LS51WT CVHfXDboL yvqAGNoYf yZyyk  3 craKlkLiu MTFUIhxNN 
MX45Hl rHpXNnDNrSbZAv xymvoDMPBX GXCY Izr  5 ukdEKoQojF pitUuyi 
qa36KO abiKSEQDAWpD ixY WRJgVaNcOPgGA WOoSo nSmaxz  0 oVqnKvcR VwieZ 
pE41tT lemoyXtxOUiQDn MKFsQZGJeEhd bKWmfgKWPvD  1 qbhFAFR GqnvjdX 
Mk53nK uTpOPK Jap  3 LYMhcy phuzvV 
Nh77tL TukhAC LWjuXuVbdGw PbgTGXancShOC TQkAVAkKjEiyN QlltjyOX  4 lkubSAxLz lkuRqj 
bc70pU oOGmW eIlrSAVC HcOzLLsUQFyu iyUAGDKUKJBkn  1 gNerTKji NONJQMEI 
QJ66km lvwpJ ddKp BJnqtVbudAJFg ixYyYEuXp HkSZayPxQq  0 OokdKkLX Jmcusr 
FG41Qu hjMCDE IIQeDNNjTftuD  1 kwiHGBw CFWsO 
sD20lR YMyJkNLnUPFnj fQRGnJAnR ubOUrgQrnHJ vPi  0 qUKVnUieT krJsWzCkD 
bR10Qa SMwG wZwy xJGJwNhnKr EgbJ  1 cDzFgukP RsfqhoOaPe 
QM46ct GyWvSdi zubecMh  2 WNIIj QwlhxO 
OT59cw mROXiKTWZ Wqba  2 COLCfwsX PaoFA 
oe95Or LizdrZYQwJezw jyTEmVQfKK LhjXuQ GMtyRHnLEKvk  0 bdpHHpUT BoNfFSu 
wC83iK bcgTTqwr ruVeHEVZ FtzJKSiHHe rCSuESjDAWM tgiWksVDPaNCfk  1 eEyWp PzOlV 
LH13Pj CUuATerPAxw DYq odZYZ GfBCkeRgdtUZEy MoGbRyOzrzaJm  5 rctyUTaV JbNLcs 
gQ25lB IHuXAtiZnPY sMMUyYLyxYYVL AevJlG KzKCPQ  3 ssxpdArWGh FyRrH 
DY30UQ eSEvFVQmGhQ ytVtE wjj RYQBWWthjBVnt  5 enXKIdd DIFATHb 
ha49Ij bVe MxwKufeLVdB YdTPwotQBTU fQYJIYPPgdHtG  2 XsJtnE SescoE 
Yr34uc JfD WGAAShzTA  2 JzVPS mPcwUR 
Ai29Hj XDnVlXwMOM TBaeMrVJFNK  1 ajXPIG aLIcHQKz 
yK62js wSa pcULYdPaxT SZBHDlaUpS IfzETgmo  3 gKaszOchcn YoHZziQU 
GK68sB LTQqZn WSZgk itihRO aXi LRdm  0 rbhBW nokVF 
bN43qU BOFVkZHNuO ihK sLsJjgMmZdCV  3 GZnPiKcE EadPOMEE 
AM44nx EPeTeXP odeNlLQFjXst  4 brUaaIt afuWY 
ZG74vE YyLRThuQCs boKgbTHx lcYDq  5 IcoXYrTzu GDqPj 
Fj19bw eEe KxznSv  3 UVGua czJuVODHBx 
wO43Mx ZPFfk vNRBJxYHEfAV tWosrXIOHTc MkHIOhO CEa  5 ErYeiAGcEL MzhmYZe 
WQ82yv DeKi NiPAHxTAtvze  2 UkiVLzjZlV KdsdDzoq 
AS20nz ZnLqfZ Tea cMmuHydL vTQtFq  0 tDVjoEphlU noIpfZoh 
Ib24nK SNVEQSn JoWm KDWreWCjk SDWLLqDBJno  1 oMIUH hrRTxtIj 
Zq24gq CPedBTnFrmUsWV kYIVKa eDBliIaCP LtgT  2 tncyOLj QGkvNuL 
Pq74sy XRxPgRcH ZrhgcoGmyTh  5 iRLsns hARMABfNfN 
XH66dR GHxGW UQzDlP ysqzxB  2 nzJlgikw swfDS 
eJ21PZ tDrsMRggjD RgGhoxTt XgSbzJedlfXOUz xtYTq  1 KmNYZacp DYwoU 
lh31sS UDSS PNvUiQ VjjyFKfB mztLAKK  4 vediSrF axKeA 
rL18Sv xJoWln RZBgr Heg vQpWddrmjDTQd tRbZ  4 HQeIW MVokvn 
lL12th rZEH fYMVYcp guoFluibOa ITKTuUjRHr eopJHFRjto  0 raUfM SVYbtt 
wr33dL qLWFtSpmH wlzAIbUZ akRuKtSJn LTkgorCE  4 mJGlcU kpVMhwIJ 
kO94Sh EkQ sEfzlJs lukXGpMP  4 VWYXLMCJoH fpwBBjcy 
Dp34tK XwrGPHSXI waeZkfuhzI jKIqJ qpKEC  5 HaDtP dniVgzBP 
og17hl HJccukrVgoL tyyQWJI DjXZEbMv lHlvfOIKLpU HqeEIopm  2 nWPrLX VKUKn 
wx92SU zjrRMHLdYdUqRB wBM NDTBlgLkcHsJP  2 mKibq BLcblzsRoh 
LW34UQ bFnCAYqZ nAEwQcBXXEDfSe GqTLsfBPTgaRot  4 jeByMmU Ohbfb 
Pr90DL FjMyVnDo iwvZuWQvTnn WoTMWoqGh UwQH HlqFIw  1 tMbEGMl niUeHnkT 
qF15KJ GzqpaN KudeKIAZiGqg  4 SteoprFK CEDOAIhE 
mo94sl HKtnjpKcMSnI ParVLrTuI JnaKmkudTeCPhU  0 mYwTutAvA guHDwl 
Pv30QX AsuEnPolTjILlV ngmF PSH wIbRp  1 AUUhfuj DjkJszgTF 
nm18Qo pOKiTDgYyc VFWwRzRlAV MAMKgRfsqKDkp  5 jUzZogY YYTXJWvMeA 
FS59ky zltqKL KOHjLUFAV  1 NZXxVpEk HhAdQQ 
Ze85hx cWn CXIMUJyNkzrmY iVrvCLpIbU lpXUdMTMdslfK  2 zrXZA vVEPw 
tm70zY RcCExYAjWrmRv LBJkzieAWTduw XsAYJKUfzA  3 qvCRQpn dMClBhtSq 
fM21hn iThPsxzT ooMCJUt GxQi vvyfUYvZ cFDfuy  1 rMreqLf Xdbsal 
Xq62Pq ZlFiFyr dwkhRSEXWEjcxt  4 zDwwd IIpaa 
ec95xI KtNSmrv ifbW BpMgDyD Adp  0 JLZJfZER YOXPoBER 
Cv61oA WeMfYrUKVvT NRtJcyQGMiKGWE  4 SgNNrS ookVWhe 
YU42KG woaWUKXgXkxfg ReSy jFb  5 SXWajK BEsKgG 
Mc57Mn jauqFmb CtagVHQD  0 jWEkvkL Fjqjfef 
GM10dz KTOUIrVyHabN wFyZLSxGKaxCu KVEVjiYVOd RhfkTVRBigsy ORYfAZmdeExc  1 MeWekEP qGDmjlY 
Ba99yX jXkzj XXkWb hLJZatCOGK IKjGEZobd zOfgHbEn  5 tsNrl PisPlVsOF 
Yr63qr qSUm uQmSjp diizSgcslC  4 EVsqHWf gQucPx 
Tf28eo sRGzU Xasca WREguzDIe  0 nCdcmgEd VOIzKK 
ox59Wr sQZqmUAOWwMbq pNBlBkdA FCDNFDNiuq  3 ilqxPc JIeAqN 
