DIM_BD 25000
AU11SG BHF oSKqG  3 iyJdmOrX XGknaOtRWW 
FN37DN WjCEiwCSO wmBWLzgYU nYRUdIzAwUH  0 rzDNkV dzVqTLt 
KQ79zl EInY LLfu uAE otxVAYRaaKiQX  1 eqCmDt ofsHjcD 
XB65PR FTQ RJBehzvq euLEQduSpjsA QYYy TbU  3 CKMdXYD wHQMaAIClN 
iI86sR lsxL OtuuJUlWrxyE kHDq abwS  1 MtgXYxHcL GQbmMD 
xd76yY gUlGJbEOl BYR habvPvz  1 wGuNyxKTIu QssslkL 
zK56fe LPmrteFyWvs jXCmjwZ mlHOPBKXyURXu nlvxFlorkVwU keia  3 jDZPbyhn QuQNhfmyKf 
bc39RZ QGwsuBPqAUC UpEudHvHyChHkO  3 rkjqaV ZCPiOLmQf 
Yz49Li ZCsUWMZSDKt OHjgbXaOhkLWj LuS xoyHlMici NeSZFH  5 wgbhNt EdEnE 
cV34yG IElhPib nToMKmOKPXwSxv fcRCMsWoOY wplxHSRWZF  3 uyqrKWM ZcmSo 
KM79nJ RYiAZWndUhChF lhEx PtqKYePVlKnw  5 yeqRweW bogOcO 
dc62PB xyDrQ jGk mEXYImxqFnmvZ EjcjLWwhsL taxZy  1 HrkgqyY MexHja 
Xd75DS wJfIq hWnoss GgGKneYbfS  2 wmQVk ogWFdrV 
jH73tE mHu tDq NmIBVRSC  2 RZgjm QMKOGs 
ey58Ho JlbqCQ vpaafsFdpT ovVtZBHOCPqOb zJblzo oBQL  4 HfhMk clKzgUdTOp 
dE23Kc HpyHSkYpw DUhBFiV  1 ZDUMrTil KkgpHA 
iy43fV QaEcZpAcZnn JRDnC  5 NeybYGOiC KxMiHZsZhb 
uY45pr LtXB BGsmEwnwZ wExshSpPhOe  5 cyPvlkRsQ DbaJeC 
oj44cn XQoUwQyxgXIPI keSfqtkMYT  2 xaZyvsYm EfkCawVVI 
uN40NI gKStYBTpDSkJv WRSZuelAub RbMpII tMPyWD  3 FQyTa HjHyBtvAUA 
Hs75GQ uWVucUo PRxaOMqgSCtg sBqxZFQ npgEBFcxMacfeX  3 ApurPSeK TciUT 
Wz84ny YvzZGnLQIVAGCR HPatcorjPe wEyMIwjf  4 taBwJtshk eNRTe 
xO46Fl DZrBLxnfVXJx MkwheKmKMgIm  5 TWxOUmfv aVMfXo 
ab72le JDqjnB hsXSSgwmuSqbg  3 AfNXySTZm SYoSxmV 
dr49qI ZPF jPDv pdVKhZODim xTKUpiJYPIoPG wUpBSalNyY  0 GHWooUB IqITo 
tA48hU YvRfgGeXKdzy jvBE  5 PrkUEQUg vBUVddlBd 
iD40fO GzABjFhgY sorPecy  0 xXuYUsxuO zCqvi 
gl41YA uKfJUnBAR TzlPiraa KtXcW TWIwkypj UxFu  1 qboQXZCi GTziHcfTVc 
ol69IM RNXQLYiQIaEP drZMpod AthVZbsM qcV PJXOozPGgZ  0 FRklhic batUUdMu 
kJ37Ti BRVMxNhrHcz XhFnH qsNAA  1 aJPfFC wzSir 
Dy78aD xXWKoWyEbrGN ByoGGtEiyEr  4 nSRXLayiYT Pcrujtq 
iI90WN hNtoQPqt YBhzuyKBrjJ  4 GyDkByrzF JDaOeiStDa 
uU93Um rynzsZIgU OYujluKaawJ RlIDXxKdWqvfjq qtFreAnGvywnE  0 tFpodYy bcOLiSEBo 
WM37Ee FBvmNfjglHynz FGby IZucW  4 oSlYpf kmRuGcKh 
jY44LJ prtcCRXAqxcfmj PRM  0 GwsZN BOwSFQcf 
mi92ZD aNJcjPnrDPTp pipAgftB tsY  3 ELaEaMena TmisbJFj 
FP39xI POJSCfHw bQs xXihVxc  2 vqwpnPYCV usHajWnwPf 
qO72fI JkliediE kdm qfFSdDute VcGOVNHJbMrFUS MVCCfJUTrKto  3 Extmkowgj JCfgZZ 
dp59ZZ iPTQhHeqUV IlAjXD zRzpAlipAzE  2 OzXVhoYdi rkeCKrK 
Vb27GB UoSq rOrLkzcAHWN jBjLSueCY egdgbINYx  3 nuhXWtue IAqNGY 
dU88zb QRS gsEHVfgdcVhA BnrNbWshlo TpnMYB  3 jnCcozf tzmbcnY 
yV39qH hRSb vKgLvinJ  2 DmOMQyQ DKHuaYma 
MB26At QBbSfoZkn HiUjTWCLqzUwie RmcXTNstPsTV  1 uPOlui ONCgd 
fp30bG HjQMcGtr wAafJdIZkrhADZ MeoGb fRuFfRCSIsT  5 dRYOLcTdw JVqvL 
Nn12Fe nikRPxeQIQoVxV dEIwTVA vhMPRiAuqZz zkpUe  5 gPFlKxJz UUDjnXZll 
Nf16BW joSYvoFZCOS LsRI aVLZbNahNXowj PTvudZDqGcyJf  3 DVRhvZjm OnxHrA 
qt78ez pPp qDyHWZwGRM QMCUWqmZPRSr irutFSixDwvuZN uni  2 pEhpA kvTcwXsdMH 
WE84Sr xzAX tlCiD  5 exVgG IwxRbdFbD 
lB33mY NWuB WCocmIDIiF dOG aQb TULzvAjI  1 MGcYmB KlIQfJ 
NI36Mv EartE Lsa mxHIdJbEnfvl  1 WrQQOfs yTxRB 
be29lz wleRaqvYvq iPtrBHLXy fqEFvym  5 crEsJmwPXC WnFFjDjP 
RH39rp NbAn wvRCXZdQk VdEugxZfnCCWJz  5 YgFWshfZ rPAllcs 
An88yx IguAFVpcBDmx CNwBp zIvkKWobsrLOW get NHY  2 ircbUDgAq KGURaVC 
dd89xY cIzD FhXfzwXcTaF WElrsfwJl  1 sWEuduoH LFbUzGzo 
vN78ed IleRUKjd jLJoOwPD heTLr ONPTypUOy  3 VnkGTox rQARx 
ZD22Hz YRWM sEubn ZZDvTA IwLSAONFoar bZCgHBhQVXLvXv  4 mrhPkoUUBf aZEthJsrK 
Ln76Vk PBzSqyiOOsoL AcRev zbrJKWmX vkYNQQo  2 DnDxc tSyqTrV 
gC75DO rQgyfC YavR  1 dWhEu sbpkytX 
AC27OY GDfo FBp hYHf vkkQzZpT  1 wTOxbKhUh VfxWTeRj 
jq51Ia nKpUZGCLSqoZxK UzNEL jRqnzJ aYTg ueaZVUEE  1 deTFiOLisF QIDImoieir 
FJ30fg oHtcl stPGXGiaVrfHMs jdMA  3 AJiJT mGqRStV 
Xu50Xg veQPSzekHR xflZDsYvWSyfg  0 hVbDKc ZCkRpUmUUp 
vn10nS UPPYv GNLAzQjX ueVExzXRGdEcKU kyJbHQT  2 irsoig TNnBwsDO 
vO30Wq JuO PjlPCVbh  5 dvUlQAuosQ jjEDZW 
Jz11aA iOLRWXU CongUrTNrL VmemVBtg  3 HELaNyC niXKmwq 
ov19KJ BLd fSqN mxgpSOinfADu FzkSkpNSC OTKFochFosdUj  2 NeHFUHI hKLTzGjtI 
uE89UR vyHF nsGNYuJXVbQ bpVdqlxban iPEzDpLqM htUfCuQnpZ  4 knDVSw daRFt 
VM78dY yEKuxK oSvlKD  0 nmYepCGm MPXDDwp 
aK61HE KiycDPa fyCTMc EtRvrJ  4 TgjDdDHRhN RujkH 
BO98sI sTcZcgnGc GwnwXYycr  3 eVAkvi dXHAPeC 
yw68re vZtyXaroEf TpurWHDB  0 QviCm WHmmjeHvCc 
hM99wZ mkWSvuFNKf oru IRapHZUxuP  2 rwramZ rLaSJ 
WI14Wk APvfnqjsWw pqZ  1 DhhStc DgZEIl 
lU84NN fEhkRqTU WQyZQeUN SsG  3 oAiipuey lyzjFWcCuL 
La57mt EpXmS DHu JwxAQ  1 bJcmvoKn xmqWkqcqFa 
YA58St tvBmULi vrVWjRZHFQMYWt twmLqjw Qskto  4 Tqcqp BeSkcUfbZ 
ow26gv LpzfBnR mIgncDRqDf dila  3 XpwWzWBgJ VuUiqTn 
WW77kZ gFfpLiBghTYqgh aDXRKkqHpaFMT mpHhAyjOqHO  4 LypgNq dLFtv 
Ux54gn iaReYJXH bHwtBmIBZGBPqz  1 uRBnRsSHLN SAzHclKRI 
SG89yN VhinabNLDdVgY YWTBQFXpANvhQ jtM  2 jJupVU miElqdfxx 
hk73xq qBv sSoMZCIsiGo waBlAPHamRhIds lhipyFW  1 uBJcSSr jajPuveOXP 
Sb99Oo wNFRpQdDooNkp VZXVRlEmYMW SnTDbXmcUqQh  3 GxfXDs bzrQUC 
YT86Lg Hzulo CPlEyvcmsFLM nEQPcpmbtU MrbyRDuTD LHj  4 HXXBljed aXPYSPZFB 
cL91ms QadnvxDXKDix NdGIapcyD CzQfg fpLrIBcgwtc  4 MkIDY IXHkKJlz 
qo69em OSqKLcNKNRJT aZQmkzwfjxg aVtsOQJQACSjfX MdOqsGMfPAf TsCTKiMuxGdRvU  0 KBgOVDNODl CeWkdpPq 
Kz75RE PqZteEtRocU aFFKM irMGaaPgvbKrkf IUS  2 NEtDIz fnBLC 
JM54Cv LLuKCWWOR lCYh  1 JADOPx RiOOGtnH 
Sx69AN rcZMvR gygUhrZJB NQSuE XvBcSUHDiIEBbp qsoEHubnRjoJTQ  4 UiuqbPPuhX nFPXvvHmy 
Cf46Nc zNqYGOp UJYXTxXbMHfp OQlZbI UUg OEsZiraYMd  5 jPKbdH jgjETWjrpi 
BS17qf ybW fbVskeuPtGDw FeeeMs FvQwFlvt KDVXsCgNJn  2 QSyOM jMLwF 
ps61Em JPNaXagHW Fwt ufKJ aKAMG WsuayORg  4 vIkzEx vhNQXq 
Bg69Fu KDuu aNQadeMSWkIomo paj kFwKXXPcC  2 RktuslqYq AEkTGZeEC 
zL62RV XvhAvHWh dckq  5 rMAUiUQxI gBWBR 
sY15Fl JGSPTFWxBjBjBy iBwHwypPDX pbYOyCeWdSC apuPFwYiW FebjlR  2 lgpDOv LwwsXqC 
NA15fK LVQzXHMlN REuA  5 sLIDIoU zSXJUZo 
ho75NY wUGZeDuGtZG PcWfpRCWtipSwB  1 GdWBV lDXxNIF 
gH36aB ZALspc ELDOIiJhIDLJUZ MTIWyzuRQJmK  3 EommYZeaUJ RVmdjlV 
sx24ag xCBn toPIq mGtzzfB eGt vBDpibO  5 ICsSd jeeXv 
re35QD bKCXYeT yRIB  0 MJhnPI oUURU 
xK10es VtaMCOL coQkLFUQm XXYy ZgRhODZFgo vCGp  2 mLQjUzAXOP hwylphH 
BU92cQ lirfIxKoMBVp tiFluOqBjDFN nFvjxQSVqI BTKI YsvIHFpUUCQ  2 rdjotYzUGA qGuOLKB 
tQ51hL yWWopZzaH FcetjvOIGj VlWYKXM zkfPpx UJHufTLvsIwWkT  2 wfVHaSYlk lXkTUb 
UI28Wr hplAaig bFrYSpQtkB eQWNELYhMZabO RIXpmBtDjxhVt oZbpbZQhqKmsPg  1 pblVHwPXK trMdPfHo 
Bb13Zl CvIUpKK NlaPsudiWqQzh HLfszToJOOdvyH  1 PiNFgzlT tDkQpTa 
jM54nR YYigObl oiFfJoCludjQNy wagLsLRzCGeOgk  3 fzlnIPWFi LJJRfnHW 
Tl60VK WOoLHRzie bjsQ  5 zRXqymB IFCJK 
Rv81xn kcIKZzg DqfPDlb  1 EryRxNVTpb gEjNdtZBcD 
EM34QN vKHRl WOuAzUrnVH wlqO  4 tcroedtai gUeMsncBb 
Wf97gM FOE zhu QICvadetJ XqEJJn  1 WROTg YkjJUbyemd 
Zf25QC UeDNySjSu DlOxVA  5 wsDdeFe WvoCMvm 
Mg46wH zTPRUHwWuDG edQeNKRA dId  3 IbJOSRqq cisAvena 
oV93ng snqyKrMAOSZVB BXpfpKDZq LuvyAhWGM PXOFMLhIUhRPG BuvFILiZhpGo  5 ohLpFECAz JvMmTsBKVg 
FL17jI bfoyTAj oFtH mRfmA  0 aOFmm qKxYxJRF 
gN54Kb afZOi bqBtuKYUgd  0 OMCBLtUD USFmT 
AZ92MA ZNcZXxPaIdEXTd QbhuqKqZnwW rcdG kGZJ  2 PNtLb RTdMpAgx 
qe30Ls cQniMhwRssu ZEdYbP Irp  3 AZhxAvoOS ezkSpceHO 
Ej10BE tfnvpijYGqw iTxNKtP AIFoltAGYBol  0 nekvgvsK IbirG 
rc99Eu wKjTwibbDBpA BAzhsRBJj ctiZA MVomJdYVt knKuwDqxFD  0 PcmNv GoXhvUkFyN 
Um91ZU KAMBDRpgTKZ iYMckjJbZ hHhrvwuR qOIyIFcAQkEk  3 Zvigzdrn AVjiEP 
mm22CV CGCOq bmLQgBEM TauSE  2 quxTLBByni oMGvSK 
RQ40Mo wmkv zOh EQcfXRkCs pCKXnppACMCSlS  4 ItqdzsG JtETb 
rb68EC DgWmEddtL CkItGzccruura  1 TLgpvcla oUMNGjo 
RV62Yj AcgQMeBI qfoQmfGA nLMUhBTJVemsll RfoYZikzuKPg  5 RCWMRcN jQPtJuOBAU 
Nx39PJ sZAiAXEBKMc LFuUxsRTppEnJI eZoKyNnkaPx hxnGugHLNW  4 SAatjU HlgEJPsjCY 
oF82wI bbvLfjD cumJ sxHVbGOectF  4 PyBiDDcvN jTGMXUEapm 
pN38qY DiRPPmSIoAELWA AnQokDuMy SdRpjmBfk MWq  5 rZiFqjOP kaSzHIai 
Cs55SR zLxrcZ LxkyGlQMejujY haUdZTclnRI vQjXAuWwHMa tgoQSO  5 ZInwOkMS aVFWDYRXka 
gH51xI ADpwNSRsnn basQSGpoctVlX ClGJ dLyi  3 ATxvDrR ujivMvI 
ci84jc mIBoa GOccFdO FXAAIzMBvxJw jnqhjTLtg  2 hKIhoY SToGPW 
xs66FS IQFedurxWXL tOCEWKESgDJhha rctNq EvMIHxEqvtyQgM  4 WUTtg KICNF 
Oc33VE DPVQ UmuQzS kjoBTUhKSsL CJHak  4 HgsVYm vPsJkkUrTs 
Mx79mg wrRhuuHPr HGfloxmew YBeIgnyVNZXj vuFwvqVKRMUk nBKOLGySvGXK  4 KqYTGQSgC wgxtfvrI 
zE42cZ jzICMJ rcrDV JmrqDXzgmJ sYyZmp  2 YRWIIw uhktR 
QM68xJ OepmCbxvQP swW KcNiyo  2 JfPOlfK LrPmp 
eJ48EM iWpkMwlPds fMsplSlg QNSBztuBES yRrYrUCFs  3 FQqbcBA EfCSKdqhbz 
lj37gO txcC beWgXdABd  4 NORDtAg EqpbOxJm 
Zu79Rw chlgxHgQmq AGnG  2 dGsNKxGyEx lzpDGC 
kv53MZ DSidEz xMIKWe JMDJSDHFUxZ VfNGusaoRSmX aNLieWUBoLxzHw  1 tbanpDLmp jlVnjSP 
gB61Cg kmmiFcOks sQXvxiHNck lAhTZxis  3 ununu ROMJh 
Cz97on TqVRbCAmk yJECeNN  2 kzXssrGP dzinwM 
MY37Vg zxDWGxGZ pmdUK  3 qCPgMBEk kockMDt 
Jg18QU vsgTaK QmNWv lAouCcFi  5 MSuaroM SIdTexpR 
Bm10eJ DZyBOmfO PfcFRcQubfNDNV Oyr bTEyRGKhxErNTc  0 AQAVCyMgOT TMfRUsw 
vr16cQ wtC TUGSEsLuQdQD jdUBCEQLrYe  1 DvQNXEnP jPOFGdt 
hf58zB vysO lDUuna  5 kCjxkbUKO RASBqtMq 
dz29aa NlrtjrWdU QeXoc  3 XCkCNNBmdl FxFGlyZu 
xr42Aq ZmNfUZrLasYT rxnw aHl LWJco  2 ctXkGL KWMfPNgjI 
YD20gT QnRtpPkEo YYtkDHEVWWl  2 ttQLJbdegt ngUniyLjvb 
LR57gx bKjKRlgqlz LHvD SCUdBYd NZvBAkpSRshu mRsILZUzzmch  1 gGudykoiVw IqWVODghHC 
Vk75gc JEtcME WDJ uyetlZb voCr  0 NTafmHinKS rIFYn 
GX41tM VeHay OkU tsJZKgWulD VCfaLgITmw  0 jbOPqIUo ScplshFVLZ 
BT50dv jURG AxqYgsh GEceeZXrod pjPNaQiGE RAdSsynPVe  5 kXWndYuWoS cAkTZ 
NS59wP DahCLY cEvrImzqWYH hdmYTxV  5 wYUQwP izYbap 
wx63gh nZgvUOpKBsMc hzuxggNWPZilK TKSQppQgh  0 KujcUPXWZ XoSwoTn 
SY43RH eNdFDGNuwWJtdn DSLZEM  2 qUJkoLaL WZUUpeXBFD 
SF60hB AnCSrdU eUYADobBay KOMOaWAEwHR UunwgLeXg  4 nnsWsIH bEnCMRh 
KE20Kk cfjX vMlugkHHQFB  5 ZJgUwFRqe JeTUXo 
RV92hc nIfPbIH WpVlR  3 FzFfWhch hETJPGa 
HS67ox oNIKNN qhwqSb  1 mdyDbgy sGBcCVCBw 
Rd61mb Afju SIpRa eReQ  2 FDVZQB ODMKKBatv 
gn73dX OQBZHxkxnjvS SLgvxQIdPM  2 myGVtl EAKbwrq 
Mi63tn FWHxhXCJrFbEa rWlAQf  2 yhzvYc GkoVTZdb 
Kw73Nj INbAVqWwCn dSlNPVh qJN qXfYbrV  5 wQSWWfVN tEWTEdORM 
ch50Hq vXdx kmB bIWrxWKHJogMQh QCcyxItzaPrL XFsAGwR  5 eVhXDBUj LlEyq 
uo60iJ WOZICspZv aJMqbWRL ThB SLgCILZCcANIk  1 qTuUEfwP hCETamIecf 
Wt58eu jTfyrQkTfuBMy PzJd TtSiHbmaolMegr  3 RibrbijEX murowdest 
PC75Ia SkZiJ wCOBLl Tpw  2 TBDsiEBMQ OsJYoPt 
Kv63vx DBIN ULiZ  5 ESabkE uWfLpY 
hv74Ad FYj RorgHxSTG yjcDnDUWQ hFwDsznPFIjuxx vRoArtpSxz  2 lWWDfuVAp OYGTF 
II56oL aST eZpHkzHWnWyY fxEhTmj bWshreRYxWCNh  2 aZjzswSj KMZWLT 
ao80Qs lchj OvXfFMS zRkRQpDbH  5 nnRDfL ZNOvk 
CB86tO DPPSDzPmjZmYE NMuG dorgpxE PhJB  2 KOsCUywTTK KkduQXjRv 
ug55ai LpnKDdfyM WvzBXJsqDeMQ  5 UVdFLmrMi OgZMkPfq 
qf12Ft UKeCMZb dQZUUNSnOthMdi aKO  3 sUgGoHwh uaPsW 
em24Da auUTgSFfZ wcXH VTVpAlRb XPpaemMDMn  1 RMsRxARjJ UxExJK 
Og40sv uVdwNPPoy FWWFsvlym  1 zhZyQBlPA qjWpS 
aq64Ex QRDym UmIknfhmLnz JXwFP TpEQi YFOvV  0 fjLEoDqZC ygYCCdV 
Dk24eQ fhqwE Gvh YxIZf prbGOr FoGKmxqO  1 RRveUFMqtw ECZxuxUnL 
TP62Qh PVRA HfEASBc  3 jiCye pjlqgnb 
Zz43DX gjB TgVpt  2 GFvwLlXC FAqqbf 
pg71dW Orp aptDTEmbABzUi  1 fbOonXUE vaRbUbcq 
XU64IS YooW PTnryNf naud yMrDmZX  5 ZLzjy ujhWodvuE 
dY39zL UVUFZKerJqHBur XQiCBqY ciNoc  5 KnEKbZK KWcBe 
hU53XS dbiyPkiiZoEiQ RTJkZGHv IQmweKSXnmju  4 ibeeviQV Rycggcljuh 
on95er zFsXgJMy OyVlfUcQWOVNmb eFKi zzGrvXCoHRJRg  1 tKsPFj YZNxOs 
ju76Fb hcOhiUpWfWMzG SudnigkssY LrwMpZBuf xFhjuJgGgOUYwg NGSEJqdrX  0 hAEsd RdXmDCiBkc 
hz42Oi VBwVB fIUmrUlEpd VGTWwyV ilL SGBlndeRmm  1 QpgNORl riZEx 
Vn15cs LXcEtnTCZNR fQqzaVKjQjqG JkddnqIHwdRi XnQA BSuij  3 BTKShbp PwkQfKD 
zT29qs lvY hnabjbDYoYm kpWs  2 IgfvA fRkqKuWKCZ 
Ap38Mw LLFJaMk Vpm  0 pAriVWNzX EAjZYAOx 
tS31bx nauBXbHdu vvEQeBQ RVsOgdYq LiXl  0 ivpTJhbdsB NxvMDcj 
AS35dv CiMF ubCoHUNtfr xbfvRV  4 qAsQQEq pqPlXuYXV 
Mf35xk drrmnvzePnbN fJHAcHc DafT csuuVZdvqpfs NTsEnJmHi  0 RIGUgH obRmqi 
vN98Ob fwlYpeozXI qUS  5 gWJZY RVZjXn 
UE14pP myZLwGFPNEfs tuXjv ZODVRuIwdFDO TfZyID vwejlTTwrm  3 bIvWqi DzjBj 
oi92vk isgUxjL pyuOtZp vca  4 psjnIJpA nPKTcbFn 
ot55nc JPbbQYsOiXnr UeNm  0 wcqKDq hhNAYaDRZk 
NS43Xr xrjaW nCXz  2 ImMztbo vzroqG 
Tk92ZJ XIWntPYkGTFYUb WcOhwmksA  1 VmBhpjBWgZ cTdtUoqpvn 
Qk25xO HhBQZCEgsW YSNRrDloScgn zYpPpJAx uFaCGnPdc mdTvRPTFHgGVn  2 BKSWFlKX kugiMmVo 
wU65zF ZIr kHm GhoRKoddRFW xAvZNkakL  1 pkrUzgRTeq OrRYONQl 
ns56Wl bQZizmnDIZxr eILMWd  4 BJXYmEM KsiRjGuUf 
up56uP yoyHVksmQCGZvW cWatpJgVCwXhM  0 LksdraFR votOkFc 
Fm27kA MNLGWRSGghuLWo YLhgoZAygzcWXB LhuYpelwWK  3 JNKkCDoA VxiOSfcPDY 
aw60Wm FoF YOPeiWA fLVhmizgr WqtgrSzlEG liPSZfcYDhVKY  2 bYiaxeC tMqPoZ 
aU41EQ PQUMQKAuFcaYr vQny VjvzrOjT tqZN aDPVBpUfmGQzCK  0 nTlbIIKP vlEMai 
XJ71Cd jCJkgZPayqF yIb vScJbCruN DJxUIu  4 uNNBAN zIFAOZSqxF 
SQ24rw IjwajM HYjRaUGYKb  5 tMGMOSKoQ uJCWuZThmU 
PV66ao NgKWH ojDObwSEV mxfnpdaWRH  2 MhAPlnVNs zGtvPy 
ZA56JH LnMFAxeIWRDZlu mGxTbshJZ KLeSwiAH TAEKqAVxIuXr BAuGJ  3 RGXBh QDNbLwyHA 
DW86wn Ljxzqz jaKksan cFj JDIEWG  0 mhFyVsQu ZaXUPGin 
zF85VU RKTO BYfKkHoXGWkap fqzeqLvRozzKTc JVOkXCmwan evlvtMgvceWJA  1 HcDhCiqe NOFFGwMhT 
Ne81ZW BjIB zdIHsayN yHFtXsDc  3 vJKnaax ZzDPN 
bn94hb LeEMMW XGgt VVGqrGMh  2 ZOEwJMJdSa xUuWgfMwN 
yp18WF icy Godtqvn fovYj  5 rTUrEowwN gNiIcsW 
WX16ET aLiEIub jPpCVHG UbmhtCcYozzYZt wMJqD  5 KOXEWpWEy vJXQXLHN 
SE36Mv pbeUruAWS vObA  4 MPmQYMd riRfqM 
fF92Sv gGVk JqwvuTzfYb RxSCoqLYK chPizERaq  5 BUwPyw eSqHMaAi 
rp73cl njc NVlJM HETf oMcMkmXjzle  3 mebXn KPsiFllFO 
pH70yk MsOyiLjwCWYpe JAQjBLs AorN  1 HeRMXxZiwL tbwDRfxn 
ZP55ot JSAGfLvM wnKyHBVqczLw  2 kGnAGmwjXK QJmoiJ 
Rc79hR jAOHVV zVWlJBxfoRGS iaba BoCO  3 TyxkqD bFUZTG 
sl61Sx aLWWf ARKlitUcT SgZQDPTIUInu  1 AjJGZCkg jAgEGBkX 
DW54tF yAicmnumFJjppr qXXYAVNqxJWbBS oAjRwFOz XQFMvvnMp TLcqyEPVrs  1 aiWLU FxEEWJWf 
If56Nk MavOdOcZnatU rOOKKvs emvHZsHGnSrBr  2 GHqkPNkRa lXrDxj 
VL61tj WZRX DlMv  5 ZTToXsBL EcBSOWUb 
mP16FS npGDzPYzeLwk dxGQwUtNKwd  5 wVOuDtA tZPoO 
ZG65Sj SAufWXX ifHwIPVTMzTx  3 mKZgXW bGLYV 
JB85zt jmNTzvdlOJnD VODx qDXg  1 FKpWhpyRy UlKKRIfEq 
SA13cn TscN OhR baNa  5 cPYVEJ IfnNfWMt 
MZ34hW MZteRXC JOi mgRmbSDtOD  0 TjdvI GbOCSEoK 
EV36cN lonwMcxtjSoYo cBUWF DCdM mqrgxZMyoP  3 qogIj NAILkOt 
Aw53LB nomrnBHRZGcn pgZGryIKK WCBil ZNGbOBvA  0 tRdcO rrweN 
QU31NX phkLUHwpRJ mnJd RGDuQGEljDUcJ  5 orFIEhJGC oeHuAwcsSB 
ZO84fn YBMNCrtWQ iAtDkB irnF QcgtagRKUXk tlP  4 VdQmVf mkqyh 
Ud35vm kiQOFviGQ lyZvpZLAfbXu XRQxldDvoZv qGfydgMQv OHNHFKT  0 lTkZEIWPE QdGpmLb 
eE47mH SjYCQI gxuTpQJkdvCL JfVqffi vNunHJozO hmvwFdVrZvjZGz  2 VHHpKnwSTc sHotR 
yK52CI zZXezp vlcBwTXoeFwabj BtQ  0 dfBxxRuMFL YoQyvu 
cn22DF JyxNpWibdyzTG cxsyeCBtLUDIJs tTQlWFoSXgROe  4 ZWxux BzhToza 
hp41Tw BfAmiNzpjvkT PWWrtF hhCOCugiIyawBW titufXUnMakr  0 JJoTvSaiWh DdKttAbPQ 
sP57eu SYUGywtNvlDZ fGBApungaVRMp SzLNCiGJ  2 yoFLCRvR GPItk 
VQ87mX glhxBufSinrba dvIZCKuUjtMuZ qluXPVkbszaV UzjpRcRDhM  4 AEAGYDQdd FZQWS 
fF17pg FfHRSGAe LvfrVh CZhC  2 TIIntSbK ZXMdxq 
KK75BB OjUjhITLk gqV crXv TxjguvvLlVXun  5 jMOdcx IjKthDuSF 
Gx26Lg fGXcPNoA rWIzUBoJKFEQy PJCgC oxOIyBxvaEzN  2 udzAleKEOr xRwLJt 
TN42ux QpeVLolAoq HnKPWixc  1 whBblpmFxA vZuwf 
To73eQ yiRgJrFwcoCGTS zTTlIIvkV pLAcdo JELRvNW zIAHTKnPO  0 LFutgsSfW YbmvEStL 
Au30bQ PDVXpQka AnxFjUo  5 IRuYDGHf hFtJgasMVg 
ps81HY qFfkomkrjA uOX YiJHFyx Vgs  2 LrBzxBComl riPjdE 
rf58Kr GvTtOfWI OopVhQVeMaRM jsEz giIsWJgfUYPe iIPP  5 WkUlCawBu YrzpzshQt 
Vy56wh tFmqGl HbxaZsclMDN  0 fXMPxOvT ryhiyF 
Bu80vn hqM JajVBz KNSywTpcpJ oPnr bmgF  5 gVXWU WuKMEv 
dr49Jp SMdLrnGszO DXFD cAoRgzBX  0 OBUyFodoX DaNzPQa 
Rc78yA psPHfodMsXcZCq ciQmfrBdvpHdQ  2 sDlAM MUtGnbZe 
qw76Qj tfj cCBvjt hxCMVFbrESEC tTKAFqYtjL pAvenfIRtaxkk  3 iouAUQo RzgSKw 
yN98XY BmkkX AGhdKFuElslLS YtEYTrMh  5 OursRWb dUMvwfQPo 
LN38hu YWo yNbWLKldqlq WraVJRUlB  5 pjsKUtxiIu DoanH 
yL89FK vDhzFbLv inssJH  1 uQmlplR dgzhaiViyn 
gG50kE Zzlbsf UAnJuMmRRHVmuU IKyAzhvVRYxHE  2 oGuMSm pdyge 
iR99Mf Mnv TEPOmUfJQnsB ENRcdvABB  5 KdyDLFXUr pcTymJQ 
Mt68oG KDVWRptknffaoM EEVKvZDmaO ROSnkNDefxvB  2 XjVYsh lffAO 
Dp10kh pHECmalasm CxxeIAgsFa YHYtgKU hNFbnvVKRmd vdVTXk  3 vkbZeEB JJKkCBbsC 
od51zV VPAEknGhJrGAM vFggtwUzkW nvENXvou WrAHXoKdbakrbn  3 DdCHFD tfkMcBjV 
Lj21bl AhvdcwEjF gnzNdRmwTvmDdZ eZEHPgYAJOGJLF wDzPUqu  4 snQwx QhHHL 
aP67LE wmTpQBfiAxsLo aWhaqSXdNXH YhBFHzK pGVskbNszSqRc OZZm  1 ZFMeuNbswB iCPelVDush 
oy86oo wDa diyR CRSIv CPgqzaz WOAilcY  0 edSGr geuyQUF 
Ir60qg fJHlNghoLwFH QYUjNwgLM IKBgspUr dIzneBqJHFklr mbUnHMXKqyYS  4 qZPNo zwoNdhEqo 
fB70kf vawJOOwWpuCclj CXeODQwgWxRV ztbT  5 lWjFuohO nHdhetx 
js51NK mzLNXolrhJk RfdMuGiqNmEUr zTONkXiQxyRvjR  4 NrpvV eYnjJW 
Cy30Os PNhEyJPvKyU yOZagjBf QhuAx  1 jotIFiEuhk OSwYsQf 
pT76NU QSsGMSN DjKarTheXzHcH IZjSdIt KlPppcEbDg xtzlkInjOgD  0 dGZcLt YfiYIrCXy 
